"GID_1","NAME_1","GID_2","NAME_2","lon","lat"
"HND.13_1","Lempira","HND.13.19_1","San Manuel Colohete",-88.6654833273022,14.4363189125024
"HND.13_1","Lempira","HND.13.20_1","San Marcos de Caiquín",-88.5999882371321,14.371613251702
"HND.13_1","Lempira","HND.13.21_1","San Rafael",-88.3728822024446,14.6929088460634
"HND.13_1","Lempira","HND.13.22_1","San Sebastian",-88.7296227182159,14.3299380407188
"HND.13_1","Lempira","HND.13.23_1","Santa Cruz",-88.533072372028,14.3338043530594
"HND.13_1","Lempira","HND.13.24_1","Talgua",-88.7279607096831,14.6699516431375
"HND.13_1","Lempira","HND.13.25_1","Tambla",-88.7573607021162,14.2110131706864
"HND.13_1","Lempira","HND.13.26_1","Tomalá",-88.7334588085144,14.2342336029327
"HND.13_1","Lempira","HND.13.27_1","Valladolid",-88.7108368343419,14.1356064462541
"HND.13_1","Lempira","HND.13.28_1","Virginia",-88.5614115914113,14.0013377294559
"HND.14_1","Ocotepeque","HND.14.1_1","Belén Gualcho",-88.779287230285,14.4707715595626
"HND.14_1","Ocotepeque","HND.14.2_1","Concepción",-89.1998049982281,14.5177749516814
"HND.14_1","Ocotepeque","HND.14.3_1","Dolores Merendon",-89.1283500167618,14.5438212954135
"HND.14_1","Ocotepeque","HND.14.4_1","Fraternidad",-89.0672885444237,14.5720745038428
"HND.14_1","Ocotepeque","HND.14.5_1","La Encarnación",-89.0428883344065,14.6504427392409
"HND.14_1","Ocotepeque","HND.14.6_1","La Labor",-89.0308011643103,14.4813447034641
"HND.14_1","Ocotepeque","HND.14.7_1","Lucerna",-88.9781688951295,14.5776719656884
"HND.14_1","Ocotepeque","HND.14.8_1","Mercedes",-89.0036923239144,14.3020204136982
"HND.14_1","Ocotepeque","HND.14.9_1","Ocotepeque",-89.2164307326477,14.4027601827222
"HND.14_1","Ocotepeque","HND.14.10_1","San Fernando",-89.0817632979023,14.6811405307904
"HND.14_1","Ocotepeque","HND.14.11_1","San Francisco del Valle",-88.9889520582914,14.4124364068408
"HND.14_1","Ocotepeque","HND.14.12_1","San Jorge",-89.1214057739232,14.6183029059634
"HND.14_1","Ocotepeque","HND.14.13_1","San Marcos",-88.9227019140539,14.3790396817686
"HND.14_1","Ocotepeque","HND.14.14_1","Santa Fé",-89.2834166415984,14.4810522873788
"HND.14_1","Ocotepeque","HND.14.15_1","Sensenti",-88.9247486396008,14.4893345946554
"HND.14_1","Ocotepeque","HND.14.16_1","Sinuapa",-89.116182858438,14.4360139634533
"HND.15_1","Olancho","HND.15.1_1","Campamento",-86.6548168333538,14.4810979924164
"HND.15_1","Olancho","HND.15.2_1","Catacamas",-85.5551857799918,14.5813965821427
"HND.15_1","Olancho","HND.15.3_1","Concordia",-86.7263659633985,14.6375625356585
"HND.15_1","Olancho","HND.15.4_1","Dulce Nombre de Culmí",-85.2955179714126,15.0528273389059
"HND.15_1","Olancho","HND.15.5_1","El Rosario",-86.7138996064034,14.8845802113524
